time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1924-09-10 11:59:27.980000+00:00,36.234,32.4,15.0,5.7,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem911106,2022-04-25T23:33:04.758Z,"8 km ESE of Gazipa?a, Turkey",earthquake,4.311959213401311,25.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.234, 32.4)","Beyrebucak, Gazipaşa, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1924,Shallow,1
1926-03-18 17:52:49.650000+00:00,36.16,29.639,15.0,5.6,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem909772,2022-04-25T23:14:49.334Z,"4 km S of Ka?, Turkey",earthquake,4.311959213401311,14.6,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.16, 29.639)","Gata Burnu, Kaş, Antalya, Akdeniz Bölgesi, 07953, Türkiye",Antalya,Moderate,1926,Shallow,1
1926-03-23 01:58:45.870000+00:00,36.232,29.79,15.0,5.34,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup909785,2022-05-09T17:45:46.626Z,"14 km ENE of Ka?, Turkey",earthquake,4.311959213401311,18.9,0.4,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(36.232, 29.79)","Sarılar, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1926,Shallow,1
1930-09-11 12:36:43.300000+00:00,37.062,31.342,15.0,6.02,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem907584,2022-04-25T22:32:08.004Z,"23 km W of ?brad?, Turkey",earthquake,4.311959213401311,25.0,0.27,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.062, 31.342)","Kızıldağ, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Strong,1930,Shallow,1
1936-08-10 06:31:44.590000+00:00,36.311,29.773,15.0,5.35,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup903779,2022-05-09T17:10:15.819Z,"17 km NE of Ka?, Turkey",earthquake,4.311959213401311,19.0,0.42,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(36.311, 29.773)","Kaş, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1936,Shallow,1
1939-01-02 04:35:32.810000+00:00,36.734,30.261,15.0,5.5,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem901755,2022-04-25T20:42:03.733Z,"27 km WNW of Göynük, Turkey",earthquake,4.311959213401311,35.1,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.734, 30.261)","Küçükpınar, Kumluca, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1939,Shallow,1
1952-09-23 20:30:53.550000+00:00,36.392,29.657,15.0,5.34,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup893452,2022-05-09T20:20:28.684Z,"21 km N of Ka?, Turkey",earthquake,4.311959213401311,15.0,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(36.392, 29.657)","Kaş, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1952,Shallow,1
1958-04-22 10:02:47.180000+00:00,36.673,30.442,35.0,5.27,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup884247,2022-05-09T19:42:59.360Z,"9 km W of Göynük, Turkey",earthquake,4.311959213401311,35.1,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(36.673, 30.442)","Ovacık, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1958,Shallow,0
1971-02-22 14:27:42.660000+00:00,37.203,30.347,15.0,5.23,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem787609,2022-04-26T21:22:53.460Z,"14 km SW of K?z?lkaya, Turkey",earthquake,4.311959213401311,60.6,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.203, 30.347)","Yalınlıgediği, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1971,Shallow,1
1971-09-08 17:01:12.280000+00:00,37.141,30.16,10.0,5.17,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem780103,2022-04-26T21:04:52.946Z,"9 km NNW of Korkuteli, Turkey",earthquake,4.311959213401311,9.4,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.141, 30.16)","Akyar, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1971,Shallow,1
1971-09-09 15:10:03.980000+00:00,37.196,30.279,15.0,5.5,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem780154,2022-04-26T21:05:07.194Z,"16 km NNE of Korkuteli, Turkey",earthquake,4.311959213401311,60.6,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.196, 30.279)","Bozova, Antalya, Akdeniz Bölgesi, Türkiye",Antalya,Moderate,1971,Shallow,1
