time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1935-10-13 19:32:18.890000+00:00,39.11,40.582,15.0,5.49,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem904581,2022-04-25T21:37:25.935Z,eastern Turkey,earthquake,4.311959213401311,6.1,0.2,19.70785935884178,reviewed,iscgem,iscgem,,"(39.11, 40.582)","Dolutekne Yaylası, Adaklı, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1935,Shallow,1
1940-05-29 15:24:45.060000+00:00,39.04,40.562,15.0,5.5,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem901384,2022-04-26T19:35:20.690Z,"18 km NNE of Bingöl, Turkey",earthquake,4.311959213401311,6.1,0.41,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.04, 40.562)","Hop Yaylası, Bingöl Merkez, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1940,Shallow,1
1949-08-17 20:45:26.030000+00:00,39.218,40.717,15.0,5.51,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem896774,2022-04-26T18:37:26.331Z,"26 km WSW of Karl?ova, Turkey",earthquake,4.311959213401311,6.1,0.28,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.218, 40.717)","Elmadüzü, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1949,Shallow,1
1949-08-23 13:40:44.220000+00:00,39.174,41.128,15.0,5.28,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup896795,2022-05-09T20:50:50.944Z,"16 km SE of Karl?ova, Turkey",earthquake,4.311959213401311,4.1,0.56,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(39.174, 41.128)","Yorgançayır, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1949,Shallow,1
1957-07-07 05:58:52.790000+00:00,39.067,40.41,15.0,5.52,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem886808,2022-04-26T17:14:35.431Z,eastern Turkey,earthquake,4.311959213401311,6.1,0.22,19.70785935884178,reviewed,iscgem,iscgem,,"(39.067, 40.41)","Bingöl Merkez, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1957,Shallow,1
1964-11-16 05:27:28.980000+00:00,39.454,40.489,15.0,5.18,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem862765,2022-04-26T23:53:32.560Z,"4 km WNW of Yedisu, Turkey",earthquake,4.311959213401311,5.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.454, 40.489)","12-82, Döşengi, Yedisu, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1964,Shallow,1
1966-08-20 12:01:41.610000+00:00,39.14,40.868,10.0,5.57,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem844741,2022-04-26T23:13:05.896Z,"20 km SW of Karl?ova, Turkey",earthquake,4.311959213401311,4.1,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.14, 40.868)","Erzurum-Bingöl yolu, Karlıova, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1966,Shallow,1
1968-09-24 04:19:55.130000+00:00,39.142,40.361,10.0,5.25,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem817327,2022-04-26T22:22:23.486Z,"26 km ESE of Yayladere, Turkey",earthquake,4.311959213401311,3.9,0.29,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.142, 40.361)","Dikenli, Kiğı, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1968,Shallow,1
1968-09-25 20:52:13.370000+00:00,39.231,40.406,10.0,5.35,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem817361,2022-04-26T22:22:28.101Z,"24 km SSW of Yedisu, Turkey",earthquake,4.311959213401311,6.1,0.47,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.231, 40.406)","Bağlarpınarı, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1968,Shallow,1
1969-10-01 20:33:38.070000+00:00,39.336,40.626,15.0,5.16,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem802984,2022-04-26T21:54:06.269Z,"13 km SE of Yedisu, Turkey",earthquake,4.311959213401311,3.9,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(39.336, 40.626)","Adaklı, Bingöl, Doğu Anadolu Bölgesi, Türkiye",Bingöl,Moderate,1969,Shallow,1
