time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1914-10-03 22:07:06.510000+00:00,37.666,30.125,15.0,7.06,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem914008,2022-04-26T00:07:36.026Z,"15 km WSW of Burdur, Turkey",earthquake,4.311959213401311,12.3,0.25,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.666, 30.125)","Burdur Merkez, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Major,1914,Shallow,1
1914-10-04 15:49:39.030000+00:00,37.484,29.813,15.0,5.39,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup610326512,2022-05-09T15:21:40.569Z,"5 km ESE of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(37.484, 29.813)","Bayırbaşı, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1914,Shallow,1
1925-08-07 06:46:44.510000+00:00,37.618,29.781,15.0,5.97,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem910635,2022-04-25T23:27:30.822Z,"12 km N of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.38,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.618, 29.781)","Taşpınar, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Strong,1925,Shallow,1
1936-08-02 22:40:57.910000+00:00,37.453,30.541,15.0,5.18,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup903768,2022-05-09T17:10:12.953Z,"4 km W of Bucak, Turkey",earthquake,4.311959213401311,6.5,0.21,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(37.453, 30.541)","Bucak, Burdur, Akdeniz Bölgesi, 15300, Türkiye",Burdur,Moderate,1936,Shallow,1
1936-08-03 04:01:47.460000+00:00,37.464,29.928,15.0,5.28,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup903769,2022-05-09T17:10:14.331Z,"13 km NE of Karamanl?, Turkey",earthquake,4.311959213401311,12.3,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(37.464, 29.928)","Yeşilova, Burdur, Akdeniz Bölgesi, 15500, Türkiye",Burdur,Moderate,1936,Shallow,1
1964-01-30 17:45:53.630000+00:00,37.408,30.029,15.0,5.45,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem871613,2022-04-27T00:17:51.189Z,"6 km NNW of Kemer, Turkey",earthquake,4.311959213401311,12.3,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.408, 30.029)","Kemer, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1964,Shallow,1
1967-06-01 10:39:21.360000+00:00,36.799,29.409,15.0,5.25,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem833982,2022-04-26T22:51:27.690Z,"25 km SSW of Alt?nyayla, Turkey",earthquake,4.311959213401311,8.4,0.25,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.799, 29.409)","Ballık - Ören yolu, Altınyayla, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1967,Shallow,1
1971-03-08 22:44:48.750000+00:00,37.444,29.765,15.0,5.17,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem786236,2022-04-26T21:19:39.767Z,"7 km S of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.444, 29.765)","Çaltepe, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1971,Shallow,1
1971-05-12 06:25:16.220000+00:00,37.585,29.784,22.5,6.34,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784339,2022-04-26T21:15:31.627Z,"8 km NNE of Ye?ilova, Turkey",earthquake,4.311959213401311,4.5,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.585, 29.784)","Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Strong,1971,Shallow,0
1971-05-12 10:10:26.800000+00:00,37.462,29.753,22.5,5.18,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784349,2022-04-26T21:15:32.957Z,"5 km S of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.46,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.462, 29.753)","Niyazlar, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1971,Shallow,0
1971-05-12 10:10:37.890000+00:00,37.552,29.678,23.5,5.57,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784350,2022-04-26T21:15:34.366Z,"8 km NW of Ye?ilova, Turkey",earthquake,4.311959213401311,4.0,0.4,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.552, 29.678)","Salda Gölü, Yeşilova, Burdur, Akdeniz Bölgesi, 15500, Türkiye",Burdur,Moderate,1971,Shallow,0
1971-05-12 12:57:25.680000+00:00,37.503,29.696,22.5,5.53,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784361,2022-04-26T21:15:35.748Z,"5 km W of Ye?ilova, Turkey",earthquake,4.311959213401311,6.7,0.3,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.503, 29.696)","Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1971,Shallow,0
1971-05-12 20:13:08.330000+00:00,37.477,29.789,22.5,5.19,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784388,2022-04-26T21:15:37.037Z,"4 km SE of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.22,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.477, 29.789)","D330, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1971,Shallow,0
1971-05-13 04:45:29.960000+00:00,37.498,29.814,15.0,5.12,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem784406,2022-04-26T21:15:38.411Z,"5 km ESE of Ye?ilova, Turkey",earthquake,4.311959213401311,12.3,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(37.498, 29.814)","Bayırbaşı, Yeşilova, Burdur, Akdeniz Bölgesi, Türkiye",Burdur,Moderate,1971,Shallow,1
