time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1979-07-19 04:21:45.200000+00:00,40.23,28.936,10.0,3.0,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00011xx,2014-11-06T23:22:03.950Z,"11 km WNW of Bursa, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.23, 28.936)","wastewater, Arıtma Caddesi, Bursa Organize Sanayi Bölgesi, Işıktepe Mahallesi, Nilüfer, Marmara Bölgesi, 16120, Türkiye",Bursa,Minor,1979,Shallow,1
1979-12-19 12:22:24+00:00,40.437,28.547,10.0,3.4,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00014kp,2014-11-06T23:22:08.322Z,"29 km WNW of Mudanya, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.437, 28.547)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Minor,1979,Shallow,1
1982-05-20 02:42:48.780000+00:00,40.407,29.057,10.0,4.0,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.3,us,usp0001me5,2014-11-07T00:31:19.308Z,"7 km SSW of Küçükkumla, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,5.0,reviewed,us,us, Turkey,"(40.407, 29.057)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Light,1982,Shallow,1
1982-06-09 04:13:39.070000+00:00,40.435,28.852,10.0,4.5,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.5,us,usp0001msv,2014-11-07T00:31:26.423Z,"7 km NNW of Mudanya, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,15.0,reviewed,us,us, Turkey,"(40.435, 28.852)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Light,1982,Shallow,1
1982-07-27 10:23:14.340000+00:00,40.395,28.977,10.7,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0001npv,2014-11-07T00:31:38.920Z,"8 km ENE of Mudanya, Turkey",earthquake,4.311959213401311,1.7,0.1684708994708995,16.0,reviewed,us,us, Turkey,"(40.395, 28.977)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Light,1982,Shallow,1
1987-10-27 03:15:30.260000+00:00,40.425,28.436,17.2,4.3,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.0,us,usp00039n6,2014-11-07T00:41:07.349Z,"24 km NNE of Karacabey, Turkey",earthquake,4.311959213401311,2.9,0.1684708994708995,20.0,reviewed,us,us, Turkey,"(40.425, 28.436)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Light,1987,Shallow,1
1990-11-12 01:05:11.930000+00:00,40.426,29.059,5.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.5,us,usp0004gt2,2014-11-07T00:47:26.218Z,"6 km SW of Küçükkumla, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.426, 29.059)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Very Minor,1990,Shallow,1
1991-01-05 20:32:19.260000+00:00,40.737,28.626,10.0,2.9,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.5,us,usp0004k8y,2014-11-07T00:47:46.808Z,"27 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.737, 28.626)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Minor,1991,Shallow,1
1991-01-06 11:45:05.510000+00:00,40.722,28.655,10.0,2.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004k9v,2014-11-07T00:47:46.975Z,"28 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.722, 28.655)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Very Minor,1991,Shallow,1
1991-01-06 15:24:33.640000+00:00,40.745,28.616,12.3,3.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004ka7,2014-11-07T00:47:47.074Z,"26 km S of Beylikdüzü, Turkey",earthquake,4.311959213401311,2.4,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.745, 28.616)","Bursa, Marmara Bölgesi, Türkiye",Bursa,Minor,1991,Shallow,1
