time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1978-12-04 03:12:34+00:00,38.07,37.468,10.0,5.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000xrs,2022-04-27T15:18:31.603Z,"12 km NNE of Nurhak, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.07, 37.468)","Nurhak, Kahramanmaraş, Akdeniz Bölgesi, 46370, Türkiye",Kahramanmaraş,Nurhak,Moderate,1978,Shallow,1
1980-10-05 21:31:35.200000+00:00,37.456,36.888,10.0,4.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0001a3j,2014-11-06T23:24:26.317Z,"14 km SSW of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(37.456, 36.888)","Hacımustafa, Onikişubat, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Onikişubat,Light,1980,Shallow,1
1991-09-26 20:24:04.040000+00:00,37.434,36.346,10.0,4.8,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0004x39,2014-11-07T00:49:17.556Z,"15 km S of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,48.0,reviewed,us,us, Turkey,"(37.434, 36.346)","Beşbucak, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Light,1991,Shallow,1
1992-05-29 06:55:55.950000+00:00,37.53,36.816,10.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp00058b4,2014-11-07T00:50:42.554Z,"11 km WSW of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,3.0,reviewed,us,us, Turkey,"(37.53, 36.816)","Onikişubat, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Onikişubat,Light,1992,Shallow,1
1993-08-07 14:23:01.310000+00:00,38.193,37.692,10.0,3.9,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0005y2p,2014-11-07T00:53:40.369Z,"19 km NW of Do?an?ehir, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,4.0,reviewed,us,us, Turkey,"(38.193, 37.692)","Balcılar, Elbistan, Kahramanmaraş, Akdeniz Bölgesi, 46300, Türkiye",Kahramanmaraş,Elbistan,Light,1993,Shallow,1
1994-06-23 20:11:28.780000+00:00,37.697,37.077,10.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.1,us,usp0006er3,2014-11-07T00:55:44.335Z,"18 km NE of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,6.0,reviewed,us,us, Turkey,"(37.697, 37.077)","Taşlıtarla, Kılağlı, Dulkadiroğlu, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Dulkadiroğlu,Light,1994,Shallow,1
1996-01-16 12:45:58.300000+00:00,38.186,37.471,10.0,4.1,ml,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0007b6a,2014-11-07T00:59:41.071Z,"23 km E of Elbistan, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,bhl, Turkey,"(38.186, 37.471)","Afetevleri, Gücük, Elbistan, Kahramanmaraş, Akdeniz Bölgesi, 46300, Türkiye",Kahramanmaraş,Elbistan,Light,1996,Shallow,1
1996-02-18 15:43:52.600000+00:00,37.579,36.29,10.0,3.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,1.4,us,usp0007dc2,2014-11-07T00:59:55.732Z,"5 km W of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(37.579, 36.29)","Karahamzalı, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,1996,Shallow,1
1996-02-22 21:35:21.120000+00:00,37.384,36.365,10.0,3.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.2,us,usp0007dqr,2014-11-07T00:59:57.349Z,"21 km S of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(37.384, 36.365)","Anacık, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,1996,Shallow,1
1997-02-15 15:56:11.980000+00:00,37.836,36.906,33.0,4.1,md,30.579625292740047,116.87532138024358,0.8673025404157043,1.73,us,usp0007xaf,2014-11-07T01:02:09.270Z,"27 km N of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(37.836, 36.906)","Hırvalık, Beşen, Onikişubat, Kahramanmaraş, Akdeniz Bölgesi, 46266, Türkiye",Kahramanmaraş,Onikişubat,Light,1997,Shallow,0
1998-04-25 01:55:29.600000+00:00,37.862,36.347,9.0,3.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0008kx6,2014-11-07T01:05:04.275Z,"22 km SW of Göksun, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.862, 36.347)","Göksun, Kahramanmaraş, Akdeniz Bölgesi, 46600, Türkiye",Kahramanmaraş,Göksun,Minor,1998,Shallow,1
1999-05-29 20:54:05.700000+00:00,37.491,36.351,10.0,3.4,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00098zu,2014-11-07T01:07:44.716Z,"9 km S of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.491, 36.351)","Torun, Yahyalar, Başdoğan, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,1999,Shallow,1
2000-04-02 11:41:25.200000+00:00,37.636,37.322,9.0,4.5,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0009qps,2014-11-07T01:09:50.356Z,"12 km SSE of Ça?layancerit, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,36.0,reviewed,isk,us, Turkey,"(37.636, 37.322)","Büyüknacar Merkez, Pazarcık, Kahramanmaraş, Akdeniz Bölgesi, 46700, Türkiye",Kahramanmaraş,Pazarcık,Light,2000,Shallow,1
2000-04-02 17:26:53.200000+00:00,37.624,37.387,9.0,4.3,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0009qq8,2014-11-07T01:09:50.477Z,"16 km SSE of Ça?layancerit, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,17.0,reviewed,isk,us, Turkey,"(37.624, 37.387)","Pazarcık, Kahramanmaraş, Akdeniz Bölgesi, 46700, Türkiye",Kahramanmaraş,Pazarcık,Light,2000,Shallow,1
2000-07-06 03:36:19.420000+00:00,37.702,36.558,10.0,3.9,mb,9.0,116.87532138024358,0.8673025404157043,1.09,us,usp0009vv5,2014-11-07T01:10:32.369Z,"22 km NE of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,1.0,reviewed,us,us, Turkey,"(37.702, 36.558)","Köşürge, Onikişubat, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Onikişubat,Light,2000,Shallow,1
2002-05-23 01:08:00.770000+00:00,37.394,36.341,8.5,4.3,mb,93.0,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp000b4tj,2014-11-07T01:15:39.207Z,"20 km S of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,32.0,reviewed,isk,us, Turkey,"(37.394, 36.341)","Çağıltepe, Anacık, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Light,2002,Shallow,1
2004-01-02 14:20:11.500000+00:00,37.653,36.516,8.0,3.3,md,6.0,111.2,0.8673025404157043,0.7582616279069767,us,usp000cgvh,2014-11-07T01:20:56.651Z,"16 km ENE of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.653, 36.516)","Sıtmalı, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,2004,Shallow,1
2004-02-15 12:55:45.500000+00:00,37.701,36.45,10.0,3.3,md,5.0,118.5,0.8673025404157043,0.7582616279069767,us,usp000cm8g,2014-11-07T01:21:21.521Z,"16 km NNE of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.701, 36.45)","46-78, Halburt, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,2004,Shallow,1
2004-02-18 05:10:04.400000+00:00,37.626,36.396,8.0,3.3,md,4.0,205.6,0.8673025404157043,0.7582616279069767,us,usp000cmf4,2014-11-07T01:21:22.159Z,"6 km NE of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.626, 36.396)","Yeniköy, Andırın, Kahramanmaraş, Akdeniz Bölgesi, 46400, Türkiye",Kahramanmaraş,Andırın,Minor,2004,Shallow,1
2004-02-19 10:33:57.600000+00:00,37.527,36.238,12.0,3.7,md,12.0,69.1,0.8673025404157043,0.7582616279069767,us,usp000cmjy,2014-11-07T01:21:22.845Z,"11 km WSW of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.527, 36.238)","Kargılık, Bulgurkaya, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Kargı,Minor,2004,Shallow,1
2004-05-28 10:14:41.100000+00:00,37.495,36.313,12.0,4.3,mb,46.0,60.6,0.8673025404157043,0.7582616279069767,us,usp000cwez,2014-11-07T01:22:25.455Z,"9 km SSW of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,5.0,reviewed,isk,us, Turkey,"(37.495, 36.313)","Karataşlı, Çınar, Hacıveliuşağı, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Karataş,Light,2004,Shallow,1
2004-05-28 19:05:26+00:00,37.671,36.31,5.0,3.1,md,6.0,89.9,0.8673025404157043,0.7582616279069767,us,usp000cwft,2014-11-07T01:22:25.626Z,"11 km NNW of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.671, 36.31)","Rıfatiye, Andırın, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Andırın,Minor,2004,Shallow,1
2004-05-31 05:07:41.500000+00:00,37.596,36.324,5.0,3.0,md,4.0,134.4,0.8673025404157043,0.7582616279069767,us,usp000cwpz,2014-11-07T01:22:26.630Z,"3 km NW of And?r?n, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.596, 36.324)","Yeşilyurt, Andırın, Kahramanmaraş, Akdeniz Bölgesi, 46400, Türkiye",Kahramanmaraş,Yeşilyurt,Minor,2004,Shallow,1
2006-03-03 03:06:38.210000+00:00,37.421,37.213,5.0,3.4,md,10.0,105.9,0.8673025404157043,0.7582616279069767,us,usp000eb87,2014-11-07T01:28:27.401Z,"10 km SW of Pazarc?k, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.421, 37.213)","Pazarcık, Kahramanmaraş, Akdeniz Bölgesi, 46700, Türkiye",Kahramanmaraş,Pazarcık,Minor,2006,Shallow,1
2006-04-23 04:00:29+00:00,37.493,36.804,15.6,3.9,ml,43.0,165.9,0.8673025404157043,0.7582616279069767,us,usp000efaa,2014-11-07T01:28:54.025Z,"14 km SW of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(37.493, 36.804)","Hacıağlar, Onikişubat, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Onikişubat,Light,2006,Shallow,1
2006-08-02 11:14:17.530000+00:00,38.296,37.362,16.4,2.8,md,6.0,109.4,0.8673025404157043,0.7582616279069767,us,usp000eq2q,2014-11-07T01:29:52.726Z,"17 km NE of Elbistan, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,isk,isk, Turkey,"(38.296, 37.362)","Türkören, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Kahramanmaraşvillage,Very Minor,2006,Shallow,1
2007-08-24 02:53:09+00:00,38.139,37.434,5.0,4.4,mb,120.0,107.2,0.8673025404157043,0.7582616279069767,us,usp000fkjf,2014-11-07T01:33:22.282Z,"19 km N of Nurhak, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,56.0,reviewed,isk,us, Turkey,"(38.139, 37.434)","Elbistan, Kahramanmaraş, Akdeniz Bölgesi, 46300, Türkiye",Kahramanmaraş,Elbistan,Light,2007,Shallow,1
2007-09-15 05:26:51.670000+00:00,37.869,36.986,5.0,4.6,mb,157.0,59.7,0.8673025404157043,0.7582616279069767,us,usp000fnak,2014-11-07T01:33:35.375Z,"27 km SW of Ekinözü, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,60.0,reviewed,isk,us, Turkey,"(37.869, 36.986)","Engizek, Dulkadiroğlu, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Dulkadiroğlu,Light,2007,Shallow,1
2007-09-15 23:28:48+00:00,37.831,36.977,6.2,4.5,mb,98.0,114.0,0.8673025404157043,0.7582616279069767,us,usp000fnd1,2014-11-07T01:33:35.732Z,"27 km N of Kahramanmara?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,51.0,reviewed,isk,us, Turkey,"(37.831, 36.977)","Dulkadiroğlu, Kahramanmaraş, Akdeniz Bölgesi, Türkiye",Kahramanmaraş,Dulkadiroğlu,Light,2007,Shallow,1
