time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1921-01-27 11:30:24.850000+00:00,36.85,27.992,15.0,5.54,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem912156,2022-04-25T23:42:50.179Z,"21 km WNW of ?çmeler, Turkey",earthquake,4.311959213401311,5.8,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.85, 27.992)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Moderate,1921,Shallow,1
1933-04-23 05:57:34.970000+00:00,36.759,27.299,15.0,6.43,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem905533,2022-04-25T21:53:58.956Z,"14 km E of Kardámaina, Greece",earthquake,4.311959213401311,4.5,0.32,19.70785935884178,reviewed,iscgem,iscgem, Greece,"(36.759, 27.299)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Strong,1933,Shallow,1
1941-12-13 06:16:02.950000+00:00,36.81,27.947,15.0,5.96,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem901119,2022-04-26T19:32:45.201Z,"23 km NNE of Sými, Greece",earthquake,4.311959213401311,5.8,0.2,19.70785935884178,reviewed,iscgem,iscgem, Greece,"(36.81, 27.947)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Strong,1941,Shallow,1
1952-06-09 14:48:38.540000+00:00,36.624,27.668,15.0,5.2,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup893004,2022-05-09T20:18:29.656Z,"12 km S of Datça, Turkey",earthquake,4.311959213401311,13.5,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(36.624, 27.668)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Moderate,1952,Shallow,1
1957-04-24 19:10:13.870000+00:00,36.493,28.829,35.0,7.1,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem886445,2022-04-26T17:11:36.773Z,"27 km SSE of Sarigerme, Turkey",earthquake,4.311959213401311,6.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.493, 28.829)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Major,1957,Shallow,0
1961-02-23 21:45:53.180000+00:00,36.657,27.355,35.0,5.4,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup876166,2022-05-09T19:25:21.736Z,"20 km ENE of Mandráki, Greece",earthquake,4.311959213401311,13.5,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Greece,"(36.657, 27.355)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Moderate,1961,Shallow,0
1961-05-23 02:45:19.040000+00:00,36.693,28.594,35.0,6.4,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem17290377,2022-04-26T16:05:14.836Z,"10 km WSW of Sarigerme, Turkey",earthquake,4.311959213401311,5.1,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(36.693, 28.594)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Strong,1961,Shallow,0
1974-05-09 17:02:21.700000+00:00,36.602,27.638,33.0,4.5,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp000069c,2014-11-06T23:21:24.136Z,"15 km SSW of Datça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(36.602, 27.638)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Light,1974,Shallow,0
1974-07-20 23:56:36.300000+00:00,37.037,27.522,33.0,3.9,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000788,2014-11-06T23:21:25.331Z,"8 km E of Bodrum, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(37.037, 27.522)","Alazeytin, Bodrum, Muğla, Ege Bölgesi, Türkiye",Muğla,Bodrum,Light,1974,Shallow,0
1976-01-10 07:11:19.200000+00:00,36.855,27.786,30.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000ecj,2022-04-27T17:20:48.063Z,"15 km NE of Datça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(36.855, 27.786)","Muğla, Ege Bölgesi, Türkiye",Muğla,Muğlavillage,Light,1976,Shallow,0
