time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1943-06-20 15:32:53.390000+00:00,40.5,30.525,15.0,6.44,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem899896,2022-04-26T19:12:20.905Z,"11 km NNE of Tarakl?, Turkey",earthquake,4.311959213401311,3.9,0.23,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.5, 30.525)","Emrahlar, Tuzla, Taraklı, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Strong,1943,Shallow,1
1957-05-26 08:54:49.380000+00:00,40.641,30.854,15.0,5.58,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem886603,2022-04-26T17:12:25.413Z,"19 km SSE of Hendek, Turkey",earthquake,4.311959213401311,9.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.641, 30.854)","Çiğdem Yaylası, Hendek, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Moderate,1957,Shallow,1
1957-05-26 09:36:38.360000+00:00,40.62,30.86,15.0,6.02,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem886606,2022-04-26T17:12:36.378Z,"21 km ESE of Akyaz?, Turkey",earthquake,4.311959213401311,9.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.62, 30.86)","Akyazı, Sakarya, Marmara Bölgesi, 54400, Türkiye",Sakarya,Strong,1957,Shallow,1
1957-05-29 10:17:46.930000+00:00,40.799,30.777,15.0,5.38,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup886629,2022-05-09T19:51:35.027Z,"2 km E of Hendek, Turkey",earthquake,4.311959213401311,4.1,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(40.799, 30.777)","Hüseyinşeyh, Hendek, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Moderate,1957,Shallow,1
1967-07-22 16:57:00.700000+00:00,40.751,30.8,30.0,7.29,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem833573,2022-04-26T22:50:38.364Z,"6 km SE of Hendek, Turkey",earthquake,4.311959213401311,4.0,0.3,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.751, 30.8)","Sümbüllü, Hendek, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Major,1967,Shallow,0
1967-07-22 17:48:06.370000+00:00,40.67,30.625,15.0,5.22,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem833578,2022-04-26T22:50:44.306Z,Western Turkey,earthquake,4.311959213401311,6.0,0.27,19.70785935884178,reviewed,iscgem,iscgem,,"(40.67, 30.625)","Yeni Mah., Akyazı, Sakarya, Marmara Bölgesi, 54400, Türkiye",Sakarya,Moderate,1967,Shallow,1
1967-07-22 18:09:54.380000+00:00,40.796,30.548,15.0,5.31,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem833584,2022-04-26T22:50:50.206Z,"12 km E of Adapazar?, Turkey",earthquake,4.311959213401311,6.4,0.27,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.796, 30.548)","Bayraktar, Adapazarı, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Moderate,1967,Shallow,1
1967-07-22 23:41:59.210000+00:00,40.594,30.535,15.0,5.11,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem833598,2022-04-26T22:50:51.687Z,"5 km S of Karapürçek, Turkey",earthquake,4.311959213401311,6.0,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.594, 30.535)","Ahmediye, Karapürçek, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Moderate,1967,Shallow,1
1979-09-19 05:19:13.400000+00:00,40.709,30.434,10.0,3.3,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp000130p,2014-11-06T23:22:05.637Z,"8 km SSE of Adapazar?, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.709, 30.434)","Emirler, Erenler, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Minor,1979,Shallow,1
1983-11-16 04:45:21.500000+00:00,40.664,30.416,10.0,3.7,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.1,us,usp0001zvc,2014-11-07T00:34:08.394Z,"10 km WNW of Karapürçek, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,1.0,reviewed,us,us, Turkey,"(40.664, 30.416)","Kemaliye, Arifiye, Sakarya, Marmara Bölgesi, Türkiye",Sakarya,Minor,1983,Shallow,1
