time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1963-09-18 16:58:14.840000+00:00,40.698,29.159,30.0,6.14,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem873085,2022-04-27T00:27:23.880Z,"4 km N of Koruköy, Turkey",earthquake,4.311959213401311,4.9,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.698, 29.159)","Çınarcık, Yalova, Marmara Bölgesi, 77300, Türkiye",Yalova,Çınar,Strong,1963,Shallow,0
1974-01-18 10:57:14.200000+00:00,40.429,28.904,23.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00004yn,2014-11-06T23:21:22.443Z,"6 km NNE of Mudanya, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(40.429, 28.904)","Yalova, Marmara Bölgesi, Türkiye",Yalova,Yalovavillage,Light,1974,Shallow,0
1976-08-16 22:07:37.800000+00:00,40.593,29.067,7.0,2.8,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000hvt,2014-11-06T23:21:36.747Z,"5 km SE of Kocadere, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.593, 29.067)","Erikli Yaylası, Çınarcık, Yalova, Marmara Bölgesi, Türkiye",Yalova,Çınar,Very Minor,1976,Shallow,1
1985-04-11 13:11:46.490000+00:00,40.688,28.874,10.0,4.3,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.0,us,usp0002dq4,2014-11-07T00:36:26.349Z,"14 km WNW of Kocadere, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,1.0,reviewed,us,us, Turkey,"(40.688, 28.874)","Yalova, Marmara Bölgesi, Türkiye",Yalova,Yalovavillage,Light,1985,Shallow,1
1985-09-14 15:23:09.510000+00:00,40.752,29.163,11.1,4.7,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.5,us,usp0002jrz,2014-11-07T00:37:10.154Z,"10 km N of Koruköy, Turkey",earthquake,4.311959213401311,6.4,0.1684708994708995,1.0,reviewed,us,us, Turkey,"(40.752, 29.163)","Yalova, Marmara Bölgesi, Türkiye",Yalova,Yalovavillage,Light,1985,Shallow,1
1986-10-26 04:49:31.790000+00:00,40.751,28.994,31.5,4.1,ml,30.579625292740047,116.87532138024358,0.8673025404157043,1.1,us,usp0002zc5,2014-11-07T00:39:11.873Z,"13 km NNW of Kocadere, Turkey",earthquake,4.311959213401311,7.1,0.1684708994708995,19.70785935884178,reviewed,us,ath, Turkey,"(40.751, 28.994)","Yalova, Marmara Bölgesi, Türkiye",Yalova,Yalovavillage,Light,1986,Shallow,0
1990-10-29 19:57:47.020000+00:00,40.645,29.101,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.9,us,usp0004gan,2014-11-07T00:47:19.416Z,"1 km W of Ç?narc?k, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.645, 29.101)","Vali Akı Caddesi, Çınarcık, Yalova, Marmara Bölgesi, 77300, Türkiye",Yalova,Çınar,Very Minor,1990,Shallow,1
1990-12-01 08:17:24.930000+00:00,40.548,29.197,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,1.0,us,usp0004hms,2014-11-07T00:47:31.321Z,"8 km SSW of Kad?köy, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.548, 29.197)","Soğantarla, Kurtköy Köyü, Yalova Merkez, Yalova, Marmara Bölgesi, 77202, Türkiye",Yalova,Yalovavillage,Very Minor,1990,Shallow,1
1990-12-30 03:19:32.220000+00:00,40.462,28.813,10.0,2.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.4,us,usp0004jz3,2014-11-07T00:47:40.533Z,"11 km NNW of Mudanya, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.462, 28.813)","Yalova, Marmara Bölgesi, Türkiye",Yalova,Yalovavillage,Very Minor,1990,Shallow,1
1991-01-06 16:09:34.520000+00:00,40.527,28.837,10.0,3.1,md,30.579625292740047,116.87532138024358,0.8673025404157043,1.1,us,usp0004kaa,2014-11-07T00:47:47.161Z,"17 km NNW of Mudanya, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.527, 28.837)","77-50, Armutlu, Yalova, Marmara Bölgesi, Türkiye",Yalova,Armutlu,Minor,1991,Shallow,1
