time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,Richter Scale,year,Depth Scale,cluster
1928-10-03 00:57:04.930000+00:00,40.497,33.456,15.0,5.34,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup908916,2022-05-09T17:41:22.485Z,"5 km SW of Eldivan, Turkey",earthquake,4.311959213401311,3.1,0.2,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(40.497, 33.456)","Karadere Yaylası, Eldivan, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Moderate,1928,Shallow,1
1938-05-31 17:55:25.020000+00:00,40.861,33.572,15.0,5.43,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup902511,2022-05-09T16:58:19.238Z,"8 km SSW of Ilgaz, Turkey",earthquake,4.311959213401311,5.6,0.3,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(40.861, 33.572)","Ilgaz, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Moderate,1938,Shallow,1
1943-11-26 22:20:48.560000+00:00,40.867,33.651,20.0,7.5,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem900102,2022-04-26T19:14:46.525Z,"6 km SSE of Ilgaz, Turkey",earthquake,4.311959213401311,5.0,0.4,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.867, 33.651)","Kuşçayırı, Çankırı, İç Anadolu Bölgesi, 18402, Türkiye",Çankırı,Major,1943,Shallow,0
1944-02-01 03:22:40.830000+00:00,40.66,32.998,30.0,7.6,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem899277,2022-04-26T19:05:14.455Z,"10 km WNW of Orta, Turkey",earthquake,4.311959213401311,4.8,0.4,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.66, 32.998)","Buğurören, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Major,1944,Shallow,0
1947-12-19 17:31:17.590000+00:00,40.825,32.861,15.0,5.22,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgemsup,iscgemsup898188,2022-05-09T15:53:34.208Z,"3 km WNW of Çerke?, Turkey",earthquake,4.311959213401311,3.0,0.55,19.70785935884178,reviewed,iscgemsup,iscgemsup, Turkey,"(40.825, 32.861)","İstanbul-Samsun yolu, Çerkeş, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Moderate,1947,Shallow,1
1953-09-07 03:58:59.630000+00:00,40.956,33.204,10.0,6.13,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem891989,2022-04-26T17:55:03.611Z,"1 km N of Bayramören, Turkey",earthquake,4.311959213401311,3.9,0.3,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.956, 33.204)","Köprülü, Köprülübey Mah., Bayramören, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Strong,1953,Shallow,1
1964-06-19 00:50:23.220000+00:00,40.772,32.822,10.0,5.15,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem867026,2022-04-27T00:04:37.040Z,"7 km SW of Çerke?, Turkey",earthquake,4.311959213401311,3.0,0.22,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.772, 32.822)","Örencik, Çerkeş, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Moderate,1964,Shallow,1
1967-06-23 10:06:55.800000+00:00,40.85,33.665,15.0,5.18,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem834816,2022-04-26T22:53:15.634Z,"8 km SSE of Ilgaz, Turkey",earthquake,4.311959213401311,5.6,0.36,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(40.85, 33.665)","Ericek, Ilgaz, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Moderate,1967,Shallow,1
1975-08-30 18:54:06.800000+00:00,40.788,33.092,43.0,3.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000cnd,2014-11-06T23:21:31.793Z,"3 km SSE of Atkaracalar, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(40.788, 33.092)","Soğukoluk Yaylası, Atkaracalar, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Minor,1975,Shallow,3
1977-10-05 05:34:46.800000+00:00,40.963,33.411,33.0,5.8,ms,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000qwy,2022-04-27T16:09:43.595Z,"17 km E of Bayramören, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(40.963, 33.411)","Kurşunlu, Çankırı, İç Anadolu Bölgesi, 18300, Türkiye",Çankırı,Moderate,1977,Shallow,0
1978-10-12 06:11:14.700000+00:00,40.995,33.283,21.0,4.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000wz6,2014-11-06T23:21:52.829Z,"8 km NE of Bayramören, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(40.995, 33.283)","Bayramören, Çankırı, İç Anadolu Bölgesi, Türkiye",Çankırı,Light,1978,Shallow,0
