time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1986-06-27 18:33:37.170000+00:00,40.889,28.285,9.6,4.1,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.0,us,usp0002vfp,2014-11-07T00:38:35.280Z,"19 km SSW of Selimpa?a, Turkey",earthquake,4.311959213401311,2.2,0.1684708994708995,17.0,reviewed,us,us, Turkey,"(40.889, 28.285)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Light,1986,Shallow,1
1988-04-24 20:49:33.600000+00:00,40.857,28.227,15.6,5.3,mw,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0003fax,2022-04-28T20:50:12.025Z,"24 km S of Silivri, Turkey",earthquake,4.311959213401311,3.1,0.1684708994708995,19.70785935884178,reviewed,us,hrv, Turkey,"(40.857, 28.227)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Moderate,1988,Shallow,1
1990-06-10 11:36:45.280000+00:00,41.252,29.328,17.8,3.9,mb,30.579625292740047,116.87532138024358,0.8673025404157043,1.2,us,usp0004abn,2014-11-07T00:46:30.794Z,"25 km WNW of ?ile, Turkey",earthquake,4.311959213401311,4.8,0.1684708994708995,22.0,reviewed,us,us, Turkey,"(41.252, 29.328)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Light,1990,Shallow,1
1990-10-03 10:33:17.810000+00:00,41.389,29.22,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.5,us,usp0004fat,2014-11-07T00:47:13.379Z,"25 km NE of Ar?köy, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.389, 29.22)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1990,Shallow,1
1990-10-07 14:25:53.300000+00:00,41.173,28.489,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004ffn,2014-11-07T00:47:15.567Z,"4 km NE of Çatalca, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.173, 28.489)","İzzettin Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, Türkiye",İstanbul,Çat,Very Minor,1990,Shallow,1
1990-10-09 15:14:52.230000+00:00,38.89,27.662,10.0,2.5,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004fjf,2014-11-07T00:47:15.985Z,"11 km S of Zeytinliova, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(38.89, 27.662)","İstanbul İzmir Otoyolu, Ballıca, Akhisar, Manisa, Ege Bölgesi, Türkiye",İstanbul,Akhisar,Very Minor,1990,Shallow,1
1990-10-11 10:03:52.490000+00:00,41.132,28.491,10.0,2.7,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.4,us,usp0004fmn,2014-11-07T00:47:16.337Z,"2 km ESE of Çatalca, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.132, 28.491)","Çatalca Çevreyolu, Ferhatpaşa Mahallesi, Çatalca, İstanbul, Marmara Bölgesi, Türkiye",İstanbul,Çat,Very Minor,1990,Shallow,1
1990-10-25 10:14:36.690000+00:00,40.849,28.32,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004g50,2014-11-07T00:47:18.346Z,"23 km S of Selimpa?a, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(40.849, 28.32)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1990,Shallow,1
1990-10-25 17:00:06.870000+00:00,41.278,29.345,10.0,2.9,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.8,us,usp0004g5d,2014-11-07T00:47:18.437Z,"25 km WNW of ?ile, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.278, 29.345)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Minor,1990,Shallow,1
1990-10-30 09:02:04.580000+00:00,41.421,29.347,10.0,2.6,md,30.579625292740047,116.87532138024358,0.8673025404157043,0.6,us,usp0004gb9,2014-11-07T00:47:19.471Z,"35 km NW of ?ile, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,isk, Turkey,"(41.421, 29.347)","İstanbul, Marmara Bölgesi, Türkiye",İstanbul,İstanbulvillage,Very Minor,1990,Shallow,1
