time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,country,location,loc,city,town,Richter Scale,year,Depth Scale,cluster
1949-07-23 15:03:35.480000+00:00,38.718,26.48,15.0,7.16,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem896705,2022-04-26T18:37:07.129Z,"9 km NNW of Karaburun, Turkey",earthquake,4.311959213401311,4.7,0.3,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(38.718, 26.48)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Major,1949,Shallow,1
1949-11-23 16:50:59.510000+00:00,38.429,26.381,15.0,5.59,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem897043,2022-04-26T18:38:23.505Z,"13 km NNE of Çe?me, Turkey",earthquake,4.311959213401311,4.9,0.23,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(38.429, 26.381)","Karaburun, İzmir, Ege Bölgesi, Türkiye",İzmir,Karaburun,Moderate,1949,Shallow,1
1953-05-02 05:41:55.810000+00:00,38.321,26.207,15.0,5.51,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem891649,2022-04-26T17:50:25.550Z,"6 km E of Thymianá, Greece",earthquake,4.311959213401311,6.6,0.57,19.70785935884178,reviewed,iscgem,iscgem, Greece,"(38.321, 26.207)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Moderate,1953,Shallow,1
1953-05-02 18:37:40.460000+00:00,38.457,26.616,15.0,5.51,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem891652,2022-04-26T17:50:26.604Z,"19 km NW of Urla, Turkey",earthquake,4.311959213401311,4.9,0.2,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(38.457, 26.616)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Moderate,1953,Shallow,1
1969-04-06 03:49:35.240000+00:00,38.433,26.631,15.0,5.83,mw,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,iscgem,iscgem809602,2022-04-26T22:07:44.872Z,"16 km NW of Urla, Turkey",earthquake,4.311959213401311,3.9,0.42,19.70785935884178,reviewed,iscgem,iscgem, Turkey,"(38.433, 26.631)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Moderate,1969,Shallow,1
1976-11-12 09:51:10.800000+00:00,38.62,26.73,24.0,4.4,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000k9w,2014-11-06T23:21:38.191Z,"6 km SSW of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.62, 26.73)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1976,Shallow,0
1976-11-12 09:55:33.400000+00:00,38.574,26.711,6.0,4.7,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000k9x,2014-11-06T23:21:38.192Z,"11 km SSW of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.574, 26.711)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1976,Shallow,1
1976-11-13 11:54:48.100000+00:00,38.61,26.718,33.0,4.5,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000kae,2014-11-06T23:21:38.204Z,"7 km SSW of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.61, 26.718)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1976,Shallow,0
1976-11-21 23:10:33.300000+00:00,38.38,26.864,33.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000ke0,2014-11-06T23:21:38.317Z,"10 km NE of Urla, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.38, 26.864)","2. Liman, İzmir-Çeşme yolu, Siteler Mahallesi, Güzelbahçe, Ege Bölgesi, 35310, Türkiye",İzmir,Çeşme,Light,1976,Shallow,0
1976-12-03 10:54:38+00:00,38.545,26.761,33.0,3.1,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000kkw,2014-11-06T23:21:38.465Z,"13 km S of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,ath, Turkey,"(38.545, 26.761)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Minor,1976,Shallow,0
1977-06-14 01:35:30.400000+00:00,38.558,26.767,33.0,3.5,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0000p9p,2014-11-06T23:21:42.386Z,"12 km S of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,ath, Turkey,"(38.558, 26.767)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Minor,1977,Shallow,0
1979-06-14 13:00:59.700000+00:00,38.774,26.65,33.0,4.2,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp0001193,2014-11-06T23:22:02.658Z,"14 km NW of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.774, 26.65)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1979,Shallow,0
1979-06-14 22:42:26.100000+00:00,38.798,26.712,32.0,3.9,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp000119s,2014-11-06T23:22:02.742Z,"12 km NW of Yenifoça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.798, 26.712)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1979,Shallow,0
1979-06-16 18:42:00.300000+00:00,38.748,26.633,18.0,5.1,ms,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00011bk,2022-04-27T15:02:32.128Z,"13 km NW of Foça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.748, 26.633)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Moderate,1979,Shallow,1
1979-06-17 04:38:56.600000+00:00,38.787,26.712,33.0,3.5,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00011ca,2014-11-06T23:22:02.923Z,"12 km WNW of Yenifoça, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.787, 26.712)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Minor,1979,Shallow,0
1979-06-17 16:11:22.100000+00:00,38.713,26.618,19.0,3.5,ml,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00011cm,2014-11-06T23:22:02.933Z,"12 km NE of Karaburun, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,ath, Turkey,"(38.713, 26.618)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Minor,1979,Shallow,1
1979-06-18 03:25:59.300000+00:00,38.716,26.588,16.0,4.6,mb,30.579625292740047,116.87532138024358,0.8673025404157043,0.7582616279069767,us,usp00011d3,2014-11-06T23:22:02.954Z,"11 km NE of Karaburun, Turkey",earthquake,4.311959213401311,5.298684394681596,0.1684708994708995,19.70785935884178,reviewed,us,us, Turkey,"(38.716, 26.588)","İzmir, Ege Bölgesi, Türkiye",İzmir,İzmirvillage,Light,1979,Shallow,1
