,Year,Mo,Dy,Hr,Mn,Sec,Tsu,Vol,Location Name,Latitude,Longitude,Focal Depth (km),Mag,MMI Int,DeathsDeath Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Houses Damaged,Houses Damaged Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description,Total Houses Damaged,Total Houses Damaged Description,location,loc
1,1903.0,4.0,28.0,23.0,46.0,,,,TURKEY:  MALAZGIRT,39.1,42.5,,6.3,10.0,3560.0,4.0,,,,4.0,,4.0,12000.0,4.0,,,3560.0,4.0,,,,4.0,,4.0,12000.0,4.0,,,"(39.1, 42.5)","Altuntaş Mahallesi, Malazgirt, Muş, Doğu Anadolu Bölgesi, Türkiye"
2,1903.0,5.0,28.0,3.0,58.0,0.0,,,"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK",40.9,42.7,,5.8,8.0,1000.0,4.0,,,,,,3.0,,,,,1000.0,4.0,,,,,,3.0,,,,,"(40.9, 42.7)","Tellioğlu, Göle, Ardahan, Doğu Anadolu Bölgesi, Türkiye"
3,1905.0,4.0,15.0,,,,,,TURKEY,40.2,29.0,33.0,6.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,"(40.2, 29.0)","Bend Caddesi, Hüdavendigar, Hüdavendigar Mahallesi, Osmangazi, Marmara Bölgesi, 16070, Türkiye"
4,1905.0,12.0,4.0,7.0,4.0,0.0,,,"TURKEY:  PUTURGE,CELIKHAN,RUMKALE",38.1,38.6,,6.8,9.0,,3.0,,,,,,3.0,,,,,,3.0,,,,,,3.0,,,,,"(38.1, 38.6)","Arıkonak, Adıyaman, Güneydoğu Anadolu Bölgesi, Türkiye"
5,1909.0,1.0,19.0,4.0,56.0,0.0,,,"TURKEY:  FOCA,MENEMEN,GUZELHISAR",38.6,26.9,,5.8,9.0,8.0,1.0,,,,,,3.0,,,,,,,,,,,,,,,,,"(38.6, 26.9)","Ege Bölgesi, 35660, Türkiye"
6,1909.0,2.0,9.0,11.0,24.0,5.0,,,"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS",40.406,38.098,,6.3,9.0,,2.0,,,,,,3.0,,3.0,,,,2.0,,,,,,3.0,,3.0,,,"(40.406, 38.098)","İsaklı, Ortakent, Suşehri, Sivas, İç Anadolu Bölgesi, Türkiye"
7,1909.0,10.0,29.0,17.0,38.0,0.0,,,TURKEY:  KOGLACIK,40.3,29.6,,5.8,8.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,"(40.3, 29.6)","Barcın, Yenişehir, Marmara Bölgesi, Türkiye"
8,1910.0,6.0,25.0,19.0,26.0,0.0,,,"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP",40.9,34.6,,6.1,7.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,"(40.9, 34.6)","İskilip, Çorum, Karadeniz Bölgesi, Türkiye"
9,1912.0,8.0,9.0,1.0,29.0,2.1,2325.0,,TURKEY:  MARMARA SEA,40.73,27.121,15.0,7.2,,2800.0,4.0,,,7000.0,4.0,,4.0,24700.0,4.0,15400.0,4.0,2800.0,4.0,,,7000.0,4.0,,4.0,24700.0,4.0,15400.0,4.0,"(40.73, 27.121)","Bulgur, Şarköy, Tekirdağ, Marmara Bölgesi, Türkiye"
10,1914.0,5.0,28.0,11.0,27.0,0.0,,,TURKEY:  GEMEREK,39.2,36.0,,5.6,7.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,"(39.2, 36.0)","Cincivitlarınağılı, Gemerek, Sivas, İç Anadolu Bölgesi, 58840, Türkiye"
