"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1903 <= Year >= 2023"",""Country = TURKEY"",""Earthquake Magnitude >= 2.5""]"																																						
	1903	4	28	23	46				"TURKEY:  MALAZGIRT"	39.1	42.5		6.3	10	3560	4				4		4	12000	4			3560	4				4		4	12000	4		
	1903	5	28	3	58	0			"TURKEY:  VARGINIS,CARDAHLI,MEHKEREK"	40.9	42.7		5.8	8	1000	4						3					1000	4						3				
	1905	4	15						"TURKEY"	40.2	29	33	6.5	10																								
	1905	12	4	7	4	0			"TURKEY:  PUTURGE,CELIKHAN,RUMKALE"	38.1	38.6		6.8	9		3						3						3						3				
	1909	1	19	4	56	0			"TURKEY:  FOCA,MENEMEN,GUZELHISAR"	38.6	26.9		5.8	9	8	1						3																
	1909	2	9	11	24	5			"TURKEY:  ZARA,IPSALA,KOYULHISAR,ENDERS"	40.406	38.098		6.3	9		2						3		3				2						3		3		
	1909	10	29	17	38	0			"TURKEY:  KOGLACIK"	40.3	29.6		5.8	8								3																
	1910	6	25	19	26	0			"TURKEY:  HACIHAMZA,OSMANCIK,ISKILIP"	40.9	34.6		6.1	7								3																
	1912	8	9	1	29	2.1	2325		"TURKEY:  MARMARA SEA"	40.73	27.121	15	7.2		2800	4			7000	4		4	24700	4	15400	4	2800	4			7000	4		4	24700	4	15400	4
	1914	5	28	11	27	0			"TURKEY:  GEMEREK"	39.2	36		5.6	7								2																
	1914	10	3	22	6	34			"TURKEY:  BURDUR, KILINC, KECIBORLU, ISPARTA"	37.82	30.27		7	9	4000	4			700	3		4	17000	4			4000	4			700	3		4	17000	4		
	1916	1	24	6	55	13.6			"TURKEY"	40.201	37.312	15	7																									
	1924	5	13	1	52	33			"TURKEY:  ERZURUM"	39.7	42.8		5.3	9	50	1						2		3			50	1						2		3		
	1924	9	13	14	34	5			"TURKEY:  ERZURUM"	40	42		6.8	10	60	2						2	380	3			60	2						2	380	3		
	1925	1	9	17	38	24			"TURKEY:  ARDAHAN"	41.2	42.8		5.8	8	200	3											200	3										
	1925	8	7	6	46	37			"TURKEY:  DINAR"	38	30.5		5.9	8	3	1						3	2043	4			3	1						3	2043	4		
	1926	10	22	19	59	38.8			"TURKEY; ARMENIA"	40.942	43.771	15	5.9	9	400	3						4					400	3						4				
	1928	3	31	0	29	47	1594		"TURKEY:  TEPEKOY, TORBALI"	38.1	27.4		6.5	9	170	3			700	3		4	2600	4		3	170	3			700	3		4	2600	4		3
	1928	5	3	1	25	13	1600		"TURKEY:  WESTERN"	40.8	26.8		4.3	7																								
	1929	5	18	6	37	0			"TURKEY:  SUSEHRI"	40.2	37.9	10	6.5	8	64	2																						
	1935	1	4	14	41	30.8	5820		"TURKEY"	40.62	27.451	7	6.4	10	5	1			30	1		3		4			5	1			30	1		3		4		
	1935	5	1	10	24	44.5			"TURKEY:  KIGI"	40.566	43.415	10	6.1		540	3											540	3										
	1938	4	19	10	59	21.4			"TURKEY:  KIRSEHIR"	39.544	33.911	10	6.6	10	224	3						3					224	3						3				
	1939	1	2	4	35	0			"TURKEY"	36.3	30.7		5.3									3																
	1939	9	21	0	37	0			"TURKEY"	39.1	26.8		6.5	9	41	1						2																
	1939	11	21	8	43	0			"TURKEY:  ERZINCAN"	39.7	40.4	80	5.9	7	13	1						2																
	1939	12	26	23	57	23.8	2301		"TURKEY:  ERZINCAN"	39.907	39.586	20	7.8	12	32700	4			100000	4	20	3	120000	4			32700	4			100000	4	20	3	120000	4		
	1940	5	7	22	23	0			"TURKEY-CIS"	41.7	43.8	19	6		16	1						2																
	1941	9	10	21	53	55.4			"TURKEY:  VAN, ERCIS"	39.196	43.444	15	6	8	430	3											430	3										
	1941	11	12	10	4	0			"TURKEY:  ERZINCAN"	39.7	39.4	70	5.9	8	15	1																						
	1942	11	15	17	1	0			"TURKEY:  BALIKESIR,BIGADIC"	39.2	28.2		6.1	8	16	1						2																
	1942	12	20	14	3	9.1			"TURKEY:  NIKSAR, ERBAA"	40.907	36.744	10	7	10	1000	3						4					1000	3						4				
	1943	6	20	15	32	53.4			"TURKEY:  HENDEK, ADAPAZARI"	40.5	30.525	15	6.4	10	285	3						3					285	3						3				
	1943	11	26	22	20	48.6			"TURKEY:  LADIK, SAMSUN, HAVZA"	40.867	33.651	20	7.5	11	4020	4			5000	4		4	40000	4			4020	4			5000	4		4	40000	4		
	1944	2	1	3	22	40.8			"TURKEY"	40.66	32.998	30	7.6	10	2381	4						3					2381							3				
	1944	6	25	4	16	0			"TURKEY:  USAK"	38.9	29.3	33	6	8	21	1																						
	1944	10	6	2	34	47.6	5818		"TURKEY:  AYVALIK"	39.509	26.587		6.7	9	30	1						4	5500	4			30	1						4	5500	4		
	1945	3	20	7	58	52.3			"TURKEY:  AELANA, CEYHAN, ADANA"	37.244	35.859	15	6.1	7	300	3											300	3										
	1946	2	21	15	43	0			"TURKEY:  IIGIN, KONYA"	38.2	31.8	60	5.6	8	12	1																						
	1946	5	31	3	12	46.1			"TURKEY:  USTUKRAN"	39.23	41.374	15	5.9	8	840	3						2					840	3						2				
	1949	8	17	18	44	18			"TURKEY: KARLIOVA"	39.503	40.671	15	6.8	10	320	3			355	3		3					320	3			355	3		3				
	1951	8	13	18	33	0			"TURKEY:  KURSUNLU"	40.8	33.4		6.7	9	50	1						3																
	1952	1	3	6	3	55.1			"TURKEY:  PASINLER (HASANKALE), ERZURUM"	40.029	41.544	20	5.7	8	103	3			250	3		2					103	3			250	3		2				
	1952	10	22	17		0			"TURKEY:  CEYHAN,MISIS"	36.5	35.5		5	7	20	1						3																
	1953	3	18	19	6	17.7			"TURKEY:  YENICE, ONON"	40.175	27.648	10	7.3		1070	4					3.57	2					1070	4					3.57	2				
	1955	7	16	7	7	0			"TURKEY:  SOKE, AYDIN"	37.5	27		6.8	9	4	1						3																
	1956	2	20	20	31	0			"TURKEY:  ESKISEHIR"	40	30.5		5.8	8	4	1						2																
	1957	4	24	19	10	12			"TURKEY"	36.31	28.62	40	6.9									2												2				
	1957	4	25	2	25	41.2			"TURKEY:  FETHIYE (LYCIA, ASIA MINOR)"	36.405	28.699	35	7.3	10	18	1			92	1		4	3000	4	5000	4	18	1			92	1		4	3000	4	5000	4
	1957	5	26	6	33	38			"TURKEY:  ABANT"	40.73	31.09	25	7.1	9	52	2				3		3				4	52	2				3		3				4
	1959	4	25	0	26	0			"TURKEY:  KOYCEGIZ, MUGLA"	37	28.7		6.3	8								2																
	1959	10	25	15	57	0			"TURKEY:  NINIA"	39.1	41.6		6.2		18	1						2																
	1961	5	23	2	45	19	1917		"TURKEY"	36.693	28.594	35	6.4																									
	1962	9	4	22	59	0			"TURKEY:  IGDIR"	39.9	43.9		5.5	6	1	1						2																
	1963	9	18	16	58	14.8	4290		"TURKEY:  YALOVA:  CINARCIK"	40.698	29.159	30	6.2	8	1	1				2		2	7	1	163	3	1	1				2		2	7	1	163	3
	1964	6	14	12	16	0			"TURKEY:  MALATYA,ADIYAMAN"	38.1	38.3		6.1	8	8	1						2																
	1964	10	6	14	31	25.4			"TURKEY:  MANYAS, BURSA, BALIKESIR"	40.203	28.206	27	6.8	10	19	1					5	2					19	1					5	2				
	1966	3	7	1	16	0			"TURKEY:  VARTO, MUS"	39.1	41.6	38	6	8	10	1						3																
	1966	5	2	23	13	0			"TURKEY"	38	42.6	41	4.8									2																
	1966	7	12	0	4	12			"TURKEY:  BAGICI"	38.9	41.3	64	4.6		12	1			20	1		3					12	1			20	1		3				
	1966	8	19	12	22	12.7			"TURKEY:  VARTO"	39.235	41.572	24	6.8	9	2394	4					20	3					2394	4					20	3				
	1967	7	22	16	57	0.7			"TURKEY:  MUDURNU, ADAPAZARI"	40.751	30.8	30	7.3	10	86	2					3	2					86	2					3	2				
	1967	7	26	18	53	0			"TURKEY:  TUNCELI"	39.5	40.4	8	6.2		97	2						3																
	1968	9	3	8	19	52.2	3297		"TURKEY:  BARTIN, AMASRA, CAKRAZ"	41.8	32.3	38	6.6	8	24	1			200	3		3	2000	4	2000	4	24	1			200	3		3	2000	4		
	1968	9	24	4	19	0			"TURKEY"	39.2	40.1	14	5.1		2	1						3																
	1969	3	23	21	8	0			"TURKEY:  DEMIRCI, GORDES, SINDIRGI"	39.2	28.5	12	5.6	8								3																
	1969	3	28	1	48	0			"TURKEY:  ALASEHIR, SARIGOL, KIRAZ"	38.6	28.4	9	6.5		53	2						3																
	1969	4	30	20	20	0			"TURKEY:  DEMIRCI, WESTERN ANATOLIA, ISTANBUL"	39.2	28.6	9	5.1									2																
	1970	3	28	21	2	26.7			"TURKEY:  GEDIZ"	39.098	29.57	25	7.2	10	1086	4			1174	4	55.6	4	8229	4	8229	4	1086	4			1174	4	55.6	4	8229	4	5586	4
	1970	4	23	9	1	0			"TURKEY:  DEMIRCI, MANISA"	39.1	28.7	18	5.7	8		1			43	1			150	3	150	3					43	1			150	3		
	1970	7	2	2	24	35.7			"TURKEY:  SIVAS"	38.8	36.7	27	4.9		1	1						2	150	3	150	3	1	1						2	150	3		
	1971	5	12	6	25	13			"TURKEY:  BURDUR"	37.6	29.8	23	5.9	6	100	2				3		3					100	2				3		3				
