time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1943-01-11T11:56:17.870Z,36.566,27.588,15,5.46,mw,,,,,iscgem,iscgem899692,2022-04-26T19:09:39.223Z,"20 km SSW of Datça, Turkey",earthquake,,13.5,0.57,,reviewed,iscgem,iscgem
1942-12-20T14:03:09.060Z,40.907,36.744,10,7,mw,,,,,iscgem,iscgem900592,2022-04-26T19:23:20.878Z,"13 km SE of Ayvac?k, Turkey",earthquake,,3.6,0.4,,reviewed,iscgem,iscgem
1942-12-11T02:39:16.470Z,40.941,35.08,15,6,mw,,,,,iscgem,iscgem900580,2022-04-26T19:23:06.140Z,"13 km WNW of Gümü?hac?köy, Turkey",earthquake,,4.1,0.2,,reviewed,iscgem,iscgem
1942-12-02T19:04:23.930Z,41.166,35.592,15,5.98,mw,,,,,iscgem,iscgem900573,2022-04-26T19:22:49.673Z,"11 km ENE of Vezirköprü, Turkey",earthquake,,2.9,0.23,,reviewed,iscgem,iscgem
1942-11-21T14:01:46.970Z,40.754,34.888,15,5.81,mw,,,,,iscgem,iscgem900563,2022-04-26T19:22:39.193Z,"2 km SSE of Laçin, Turkey",earthquake,,4.1,0.2,,reviewed,iscgem,iscgem
1942-11-15T17:01:20.850Z,39.364,28.886,15,6.17,mw,,,,,iscgem,iscgem900552,2022-04-26T19:22:25.079Z,"31 km NNW of Simav, Turkey",earthquake,,6.3,0.22,,reviewed,iscgem,iscgem
1942-10-28T02:22:49.370Z,39.052,27.957,15,5.84,mw,,,,,iscgem,iscgem900513,2022-04-26T19:21:40.486Z,"17 km NE of Akhisar, Turkey",earthquake,,5.1,0.32,,reviewed,iscgem,iscgem
1942-08-12T20:38:42.860Z,38.812,27.59,15,5.43,mw,,,,,iscgemsup,iscgemsup900420,2022-05-09T16:40:50.681Z,"8 km NNE of Saruhanl?, Turkey",earthquake,,4.9,0.35,,reviewed,iscgemsup,iscgemsup
1942-06-21T04:38:33.740Z,36.034,26.97,15,5.52,mw,,,,,iscgem,iscgem900345,2022-04-26T19:19:01.994Z,"62 km NNW of Karpathos, Greece",earthquake,,23,0.2,,reviewed,iscgem,iscgem
1942-06-16T05:42:32.890Z,40.729,27.726,10,5.86,mw,,,,,iscgem,iscgem900337,2022-04-26T19:18:49.349Z,"21 km NE of Marmara, Turkey",earthquake,,4.3,0.29,,reviewed,iscgem,iscgem
1942-02-05T01:15:56.180Z,38.672,27.77,15,5.47,mw,,,,,iscgem,iscgem900189,2022-04-26T19:16:52.624Z,"13 km WSW of Gölmarmara, Turkey",earthquake,,5.3,0.35,,reviewed,iscgem,iscgem
1942-02-02T17:05:30.170Z,36.288,28.096,15,5.67,mw,,,,,iscgem,iscgem900186,2022-04-26T19:16:47.502Z,"5 km W of Afántou, Greece",earthquake,,34.5,0.22,,reviewed,iscgem,iscgem
1941-12-13T06:16:02.950Z,36.81,27.947,15,5.96,mw,,,,,iscgem,iscgem901119,2022-04-26T19:32:45.201Z,"23 km NNE of Sými, Greece",earthquake,,5.8,0.2,,reviewed,iscgem,iscgem
1941-11-12T10:04:54.790Z,39.782,39.506,15,6.04,mw,,,,,iscgem,iscgem901072,2022-04-26T19:31:37.362Z,"4 km NNE of Erzincan, Turkey",earthquake,,4.8,0.2,,reviewed,iscgem,iscgem
1941-09-21T22:40:28.420Z,38.986,29.978,15,5.57,mw,,,,,iscgem,iscgem901015,2022-04-26T19:30:19.119Z,"14 km N of Dumlup?nar, Turkey",earthquake,,6.4,0.34,,reviewed,iscgem,iscgem
1941-09-10T21:53:55.350Z,39.196,43.444,15,5.97,mw,,,,,iscgem,iscgem900990,2022-04-26T19:29:41.715Z,"20 km NNE of Erci?, Turkey",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
1941-07-13T15:39:33.160Z,37.698,26.383,15,5.88,mw,,,,,iscgem,iscgem900899,2022-04-26T19:28:23.048Z,"12 km NE of Agios Kirykos, Greece",earthquake,,5.5,0.24,,reviewed,iscgem,iscgem
